Season,Episode,Title,Abstract,Director,Rating,Character,Colour
3,17,The One Without the Ski Trip,Monica Chandler Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.,Sam Simon,8.3,Ross,#85a2be
3,18,The One with the Hypnosis Tape,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Robby Benson,8.4,Phoebe,#B88194
3,19,The One with the Tiny T-Shirt,Rachel goes on her first date after splitting from Ross with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete even though she is still not attracted to him.,Terry Hughes,8.2,Chandler,#d8873a
3,20,The One with the Dollhouse,Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with. Rachel regrets setting up Chandler with her boss Joanna.,Terry Hughes,8.1,Joey,#76a47d
3,21,The One with the Chick and the Duck,Joey buys a chick for him and Chandler. Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.,Michael Lembeck,8.7,Monica,#be0a09
3,22,The One with the Screamer,Ross witnesses Rachel's date screaming at people. Meanwhile Joey becomes upset when Kate is offered a job in Los Angeles. Phoebe refuses to hang up the phone when she is placed on hold by her phone company.,Peter Bonerz,8.3,Joey,#76a47d
3,23,The One with Ross's Thing,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys. Monica can't decide what to do about Pete when she thinks he is going to propose.,Shelley Jensen,8.1,Phoebe,#B88194
3,24,The One with the Ultimate Fighting Champion,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,Robby Benson,8.1,Monica,#be0a09
3,25,The One at the Beach,While at the beach Phoebe meets a family friend with links to her past. Ross discovers that Rachel still loves him and must decide between her and Bonnie.,Pamela Fryman,8.9,Phoebe,#B88194
4,1,The One with the Jellyfish,Ross chooses between Rachel and his bald-headed girlfriend Bonnie. Joey Chandler and Monica have a perilous encounter with a jellyfish at the beach.,Shelley Jensen,9.1,Ross,#85a2be
4,2,The One with the Cat,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,Shelley Jensen,8.1,Monica,#be0a09
4,3,The One with the 'Cuffs,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,Peter Bonerz,8.5,Chandler,#d8873a
4,4,The One with the Ballroom Dancing,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,Gail Mancuso,8.2,Joey,#76a47d
4,5,The One with Joey's New Girlfriend,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,Gail Mancuso,8.4,Chandler,#d8873a
4,6,The One with the Dirty Girl,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,Shelley Jensen,8.5,Chandler,#d8873a
4,7,The One Where Chandler Crosses the Line,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,Kevin Bright,8.7,Chandler,#d8873a
4,8,The One with Chandler in a Box,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,Peter Bonerz,9.1,Chandler,#d8873a
4,9,The One Where They're Going to Party!,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,Peter Bonerz,7.9,Monica,#be0a09
4,10,The One with the Girl from Poughkeepsie,In order for her kitchen staff to acknowledge her authority Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.,Gary Halvorson,8.1,Chandler,#d8873a
4,11,The One with Phoebe's Uterus,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,David Steinberg,8.5,Phoebe,#B88194
4,12,The One with the Embryos,Phoebe's uterus is examined for implantation of the embryos. Meanwhile a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.,Kevin Bright,9.5,Phoebe,#B88194
4,13,The One with Rachel's Crush,After seeing Kathy's play Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.,Dana De Vally Piazza,8.2,Rachel,#eab913
4,14,The One with Joey's Dirty Day,Joey arrives on the set of his latest movie unwashed after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.,Peter Bonerz,8.2,Rachel,#eab913
4,15,The One with All the Rugby,Chandler runs into Janice and finds her more irritating than ever and creates an elaborate plan to break up with her. meanwhile Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.,James Burrows,8.5,Ross,#85a2be
4,16,The One with the Fake Party,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,Michael Lembeck,8.2,Rachel,#eab913
4,17,The One with the Free Porn,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,Michael Lembeck,8.6,Monica,#be0a09
4,18,The One with Rachel's New Dress,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,Gail Mancuso,8.3,Ross,#85a2be
4,19,The One with All the Haste,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,Kevin Bright,8.7,Ross,#85a2be
4,20,The One with All the Wedding Dresses,Monica tries on Emily's wedding dress and can't stop wearing it. Jealous of Ross's proposal to Emily Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.,Gail Mancuso,8.5,Rachel,#eab913
4,21,The One with the Invitation,As Ross and Emily send out wedding invitations he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.,Peter Bonerz,7.2,Rachel,#eab913
4,22,The One with the Worst Best Man Ever,At first Ross chooses Joey to be his best man but after a mishap at his bachelor party he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.,Peter Bonerz,8.5,Joey,#76a47d
4,23,The One with Ross's Wedding,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding while someone else unexpectedly shows up to the wedding.,Kevin Bright,8.7,Phoebe,#B88194
4,24,The One with Ross's Wedding,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,Kevin Bright,9.2,Rachel,#eab913
5,1,The One After Ross Says Rachel,A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile Chandler and Monica struggle to get time alone together.,Kevin Bright,8.9,Ross,#85a2be
5,2,The One with All the Kissing,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,Gary Halvorson,9.0,Rachel,#eab913
5,3,The One Hundredth,The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are 'just goofing around'. Joey gets treated for kidney stones.,Kevin Bright,8.8,Phoebe,#B88194
5,4,The One Where Phoebe Hates PBS,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,Shelley Jensen,8.3,Ross,#85a2be
5,5,The One with the Kips,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,Dana De Vally Piazza,8.8,Monica,#be0a09
5,6,The One with the Yeti,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,Gary Halvorson,8.1,Ross,#85a2be
5,7,The One Where Ross Moves In,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,Gary Halvorson,8.4,Rachel,#eab913
5,8,The One with All the Thanksgivings,The gang remember and share with each other their worst Thanksgivings.,Kevin Bright,9.2,Monica,#be0a09
5,9,The One with Ross's Sandwich,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,Gary Halvorson,9.1,Ross,#85a2be
5,10,The One with the Inappropriate Sister,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,Dana De Vally Piazza,8.2,Joey,#76a47d
5,11,The One with All the Resolutions,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,Joe Regalbuto,9.1,Joey,#76a47d
5,12,The One with Chandler's Work Laugh,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,Kevin Bright,8.3,Monica,#be0a09
5,13,The One with Joey's Bag,Phoebe's grandmother dies and is shocked when her father turns up at the funeral. Meanwhile Rachel gives Joey a man's bag for an audition and Chandler is scared to tell Monica he doesn't like her massages.,Gail Mancuso,8.1,Phoebe,#B88194
5,14,The One Where Everybody Finds Out,When Phoebe finds out about Monica and Chandler she and Rachel attempt to get them to confess their relationship.,Michael Lembeck,9.7,Phoebe,#B88194
5,15,The One with the Girl Who Hits Joey,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,Kevin Bright,8.5,Chandler,#d8873a
5,16,The One with the Cop,Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile Phoebe finds a police badge in Central Perk and Ross tries to get his new sofa into his apartment.,Andrew Tsao,8.6,Joey,#76a47d
5,17,The One with Rachel's Inadvertent Kiss,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,Shelley Jensen,8.5,Rachel,#eab913
5,18,The One Where Rachel Smokes,Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.,Todd Holland,8.0,Joey,#76a47d
5,19,The One Where Ross Can't Flirt,As Joey's grandmother visits to watch him on TV Ross has trouble flirting with the pizza delivery girl and Rachel tries to find an earring of Monica's that she has misplaced.,Gail Mancuso,8.7,Rachel,#eab913
5,20,The One with the Ride Along,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,Gary Halvorson,8.3,Ross,#85a2be
5,21,The One with the Ball,Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom. Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.,Gary Halvorson,8.5,Rachel,#eab913
5,22,The One with Joey's Big Break,Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross but doesn't know why.,Gary Halvorson,8.3,Joey,#76a47d
5,23,The One in Vegas: Part 1,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,Kevin Bright,8.8,Joey,#76a47d
5,24,The One in Vegas: Part 2,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,Kevin Bright,9.1,Ross,#85a2be
6,1,The One After Vegas,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,Kevin Bright,8.7,Phoebe,#B88194
6,2,The One Where Ross Hugs Rachel,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,Gail Mancuso,8.2,Monica,#be0a09
6,3,The One with Ross's Denial,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,Gary Halvorson,8.2,Ross,#85a2be
6,4,The One Where Joey Loses His Insurance,Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students he puts on a fake English accent.,Gary Halvorson,8.5,Ross,#85a2be
6,5,The One with Joey's Porsche,Ross and Rachel try to get an annulment. Joey finds the keys to a porsche in Central Perk and Phoebe Monica and Chandler babysit the triplets.,Gary Halvorson,8.2,Rachel,#eab913
6,6,The One on the Last Night,On the last night before Chandler and Monica move in together Monica and Rachel argue and Chandler tries to give Joey money to help him pay the bills.,David Schwimmer,8.5,Chandler,#d8873a
6,7,The One Where Phoebe Runs,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,Gary Halvorson,8.4,Chandler,#d8873a
6,8,The One with Ross' Teeth,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,Gary Halvorson,8.5,Rachel,#eab913
